dp_name,dp_id,c1,c2,c3,c4,c5,c6,c7
Read.Tweet.Language,1165,Read,,,Tweet,Language,,Read
Read.Tweet.EngagementType,1166,Read,,,Tweet,EngagementType,,Read
Read.Tweet.Pinned,1168,Read,,,Tweet,Pinned,,Read
Read.Tweet.quote,1169,Read,,,Tweet,quote,,Read
Read.Tweet.SafetyLabel,1170,Read,,,Tweet,SafetyLabel,,Read
Read.Tweet.Status,1171,Read,,,Tweet,Status,,Read
Read.Tweet.UserFlags,1172,Read,,,Tweet,UserFlags,,Read
Read.Tweet.likes.[count],1173,Read,,,Tweet,likes,count,Read
Read.Tweet.likes.[impression],1174,Read,,,Tweet,likes,impression,Read
Read.Tweet.retweet.[count],1175,Read,,,Tweet,retweet,count,Read
Read.Tweet.retweet.[impression],1176,Read,,,Tweet,retweet,impression,Read
Read.Tweet.Click.[count],1177,Read,,,Tweet,Click,count,Read
Read.Tweet.Impressions.[impression],1178,Read,,,Tweet,Impressions,impression,Read
Read.Tweet.quote.[count],1179,Read,,,Tweet,quote,count,Read
Read.Tweet.quote.[impression],1180,Read,,,Tweet,quote,impression,Read
Update.Ads.Impressions.[impression],1181,Update,,,Ads,Impressions,impression,ReadWrite
Display.End User.Name,1182,Display,,,End User,Name,,Read
Display.End User.handle,1183,Display,,,End User,handle,,Read
Display.End User.Image,1184,Display,,,End User,Image,,Read
Display.End User.IsProtected,1185,Display,,,End User,IsProtected,,Read
Display.End User.IsVerified,1186,Display,,,End User,IsVerified,,Read
Display.End User.ID,1187,Display,,,End User,ID,,Read
Display.AdsAccount.Media Key,1188,Display,,,AdsAccount,Media Key,,Read
Display.End User.media,1189,Display,,,End User,media,,Read
Display.Tweet.AnnotationsEntitiesMetadata,1190,Display,,,Tweet,AnnotationsEntitiesMetadata,,Read
Display.Tweet.Hashtag,1191,Display,,,Tweet,Hashtag,,Read
Read.Tweet.Conversation ID,1196,Read,,,Tweet,Conversation ID,,Read
Read.End User.SafetyLabel,1197,Read,,,End User,SafetyLabel,,Read
Read.End User.AuthorityDetails,1198,Read,,,End User,AuthorityDetails,,Read
Read.End User.PrivacySettings,1199,Read,,,End User,PrivacySettings,,Read
Read.End User.ip-address,1200,Read,,,End User,ip-address,,Read
Read.Device.id,1201,Read,,,Device,id,,Read
Read.Device.Model,1202,Read,,,Device,Model,,Read
Read.Device.OperatingSystem,1203,Read,,,Device,OperatingSystem,,Read
Read.Device.Type,1204,Read,,,Device,Type,,Read
Read.End User.WebAppUsage,1205,Read,,,End User,WebAppUsage,,Read
Create.End User.id,1206,Create,,,End User,id,,ReadWrite
Read.End User.FollowedTopics,1207,Read,,,End User,FollowedTopics,,Read
Read.End User.ClickedProfiles,1208,Read,,,End User,ClickedProfiles,,Read
Read.End User.ViewedProfiles,1209,Read,,,End User,ViewedProfiles,,Read
